test_id,module,feature,expected_behavior,expected_source,route,api,worker,data_dependencies,roles,tenant_scope,plan_tier,launch_in_scope,scenarios,assertions,status,evidence,defects,blockers,notes
SEC-002,Security,Baseline security headers,"CSP, X-Frame-Options, nosniff, Referrer-Policy, Permissions-Policy",nginx,/,n/a,n/a,Cloudflare,anon,n/a,all,yes,happy_path,headers present,PASS,CSP includes unsafe-inline and unsafe-eval,,,CSP is present but permissive; sandbox Paddle allowed
SEC-003,Security,Paddle and Meta signed webhooks,"Signatures, freshness, idempotency",test,n/a,/api/v1/webhooks/paddle; /api/v1/meta/*,n/a,secrets,system,n/a,all,yes,retry_idempotency,unit pass,PASS,test_paddle_webhook.py; test_meta_callbacks.py; test_meta_signed_request.py,,,No production webhook injection attempted
SEC-004,Security,XSS/CSRF/upload/SSRF isolated proofs,Safe local proofs of exploitability,spec,n/a,n/a,n/a,SPA cookies,auditor,local,n/a,yes,ui_authz,proof or absence,BLOCKED,,,No local app; production exploit tests forbidden,"Static: demo creds, CSP unsafe-eval, no HSTS"
CI-001,CI,GitHub Actions on audited SHA,CI job success for ccc97a6,ci.yml,n/a,n/a,n/a,GitHub,auditor,n/a,n/a,yes,happy_path,CI success,PASS,"gh run list: CI, Docker, Docs success",,,Did not re-run GHA; used recorded result
FE-001,Frontend quality,Frontend unit tests,Vitest run all pass,ci.yml,n/a,n/a,n/a,vitest,auditor,n/a,n/a,yes,happy_path,63 passed,PASS,npm run test -- --run,,,Only 4 test files; no Custom Autopilot/Rules/KG coverage
FE-002,Frontend quality,Typecheck and build,tsc --noEmit and vite build succeed,ci.yml,n/a,n/a,n/a,"typescript,vite",auditor,n/a,n/a,yes,happy_path,exit 0,PASS,tsc_exit:0; vite built in 6.86s,,,lint 0 errors 510 warnings
FE-003,Frontend quality,Playwright E2E,Chromium e2e against local app,ci.yml,localhost:5173,n/a,n/a,Playwright,auditor,local,n/a,yes,happy_path,project=chromium pass,BLOCKED,,,No running frontend/API. CI Playwright is non-blocking,
WRK-001,Workers,Beat queues consumed,Every beat queue is in CELERY_QUEUES,code,n/a,n/a,BEAT_SCHEDULE,Celery,system,n/a,all,yes,happy_path,no unconsumed queues,PASS,test_worker_queue_coverage.py,,,apply_actions_queue on sync every 5 min
NA-001,Activation,Google Ads / TikTok / Snapchat activation,Meta-only activation; GA4/GTM measurement only,docs/integrations/README.md,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,no Google Ads paths,NOT APPLICABLE,integrations README; CLAUDE.md,,,Audience sync UI is Meta Custom Audiences
NA-002,Payments,Stripe checkout,Paddle is the only payment provider,docs/integrations/billing-paddle.md,n/a,n/a,n/a,Paddle,n/a,n/a,n/a,no,n/a,no Stripe SDK,NOT APPLICABLE,,,,
PRIV-001,Privacy,GDPR anonymize path,Documented erasure only; not legal certification,code,n/a,/api/v1/gdpr/anonymize,n/a,"users, audit_logs",admin,tenant,all,yes,happy_path,documented tables cleared,BLOCKED,,,Must not anonymize live users,
PRIV-002,Privacy,Meta data-deletion callback,signed_request verified; idempotent; tokens cleared,docs/integrations/README.md,n/a,/api/v1/meta/data-deletion,n/a,tenant_platform_connection,Meta,n/a,all,yes,retry_idempotency,unit pass,PASS,test_meta_callbacks.py,,,Did not call live Meta callbacks
TEN-001,Tenant app,Campaign builder publish,"Drafts, connect, accounts, publish logs",spec,/app/:id/campaigns/*,/api/v1/campaign-builder,n/a,Meta,admin,tenant,professional+,yes,"crud_lifecycle,error",no live publish,BLOCKED,,,,Must not publish live campaigns
TEN-002,Tenant app,Pacing profit attribution reporting,Tenant analytics routes,spec,/app/:id/pacing;/profit;/attribution;/reporting,"/api/v1/pacing,/profit,/attribution,/reporting",n/a,metrics,user,tenant,professional+,yes,"empty,loading",API data,BLOCKED,,,,Routes exist; many missing from tenant sidebar
SA-001,Superadmin,Control tower and tenants,Role-gated superadmin consoles,spec,/dashboard/superadmin/*,/api/v1/superadmin,n/a,all tenants,superadmin,global,n/a,yes,"ui_authz,api_authz",non-superadmin 403,BLOCKED,,,,Must not use production superadmin demo button
AM-001,Account Manager,Portfolio and narrative,Portfolio uses batched gate equal to tenant,code,/dashboard/am/portfolio,/api/v1/tenants/portfolio,n/a,signal health,manager,portfolio,enterprise,yes,unknown_health,insufficient_data agrees,BLOCKED,test_account_portfolio.py unit PASS,,No AM session on live,Unit coverage exists
PUB-001,Public marketing,Landing and pricing render,Public pages load; claims treated as hypotheses,UI,/;/pricing,n/a,n/a,SPA,anon,n/a,all,yes,happy_path,HTTPS 200,PASS,PROD-landing.png; PROD-pricing.png,,,Landing shows 94.7% trust score and $124.8K spend as demo chrome
PUB-002,Public marketing,Legal pages routed,Privacy Terms Security DPA routes exist,spec,/privacy;/terms;/security;/dpa,n/a,n/a,SPA,anon,n/a,all,yes,direct_url,routes in App.tsx,PASS,App.tsx legal routes,,Did not legally review policy text,Not a compliance certification
I18N-001,Localization,Arabic RTL authenticated,RTL layout; mixed-direction IDs/dates/currency,spec,/ar;/dashboard,n/a,n/a,i18n,user,tenant,all,yes,happy_path,dir=rtl; numbers intact,BLOCKED,,,Public /ar not separately screenshot; dashboard RTL unverified,
DATA-001,Demo vs live,Production does not present synthetic data as live,Empty states empty; demo labeled; status/changelog/notifications measured,hypothesis 5.D,multiple,multiple,multiple,mocks,user,tenant,all,yes,empty,synthetic labeled,FAIL,Rules/Stratum/Custom Autopilot/Reports/Consent/Churn/Status/Notifications mocks,"DEF-009,DEF-006,DEF-015,DEF-016,DEF-017,DEF-021,DEF-022,DEF-026",,SEED_DEMO may be on this host; unproven
FX-001,Clock/currency,Timezone and Meta money units,Day boundaries in account TZ; Meta offset conversion via major_to_meta_minor,CLAUDE.md,n/a,n/a,action_executor,Meta currency offsets,system,account,all,yes,timezone_boundary,JPY 100x not applied wrongly,BLOCKED,write_client tests in test_meta_write_executor.py,,No live JPY account,Unit coverage for conversion/refusal; live unverified
